Player,Win Rate,Win CI,Economic Performance,Jhyap Success Rate,Cards Discarded,Risk Assessment
AI_mcts_0,50.0,69.29646455628166,-6.0,100.0,1.0,0.0
AI_ismcts_1,50.0,69.29646455628166,6.0,100.0,1.0,0.0
