Algorithm,Seats,Win Rate (%),Win CI (%),Economic Perf.,Jhyap Calls,Jhyap Success (%),Risk Corr.,Avg Dec. Time (ms)
PPO,2,81.0,2.4,50.0,154,100.0,N/A,2.28
DQN,2,19.0,2.4,-50.0,31,100.0,N/A,2.19
