Player,Win Rate (%),Win CI (%),Economic Perf.,Jhyap Success (%),Risk Corr.,Avg Dec. Time (ms)
AI_ppo_0,55.4,3.0,4.8,0.0,N/A,2.4
AI_dqn_1,44.6,3.0,-4.8,0.0,N/A,2.3
