Comparison,Win d,Win p-value,Economic d,Economic p-value,Jhyap d,Jhyap p-value,Cards d,Cards p-value,Risk d,Risk p-value
P0 vs P1,0.35647654277892116,1.2839639276787884e-15,0.24304704842994962,4.4002100058366736e-08,0.7038154864264691,1.927659021530055e-53,-0.01454401223559176,0.7422402618516641,-0.44566840549086034,1.2590603244307342e-08
P0 vs P2,0.21849658401458724,8.384034291024766e-07,0.16784579203851224,0.0001514520795905967,0.4064717718667322,9.3093057975167e-20,-0.01720179527303693,0.6972856481389622,-0.10645418642597129,0.18056654657674584
P0 vs P3,0.3316709551793689,9.473733258922113e-14,0.28601119450533996,1.250319520269698e-10,0.41602940784694165,1.3283134304311435e-20,-0.07404753579747994,0.09415172044166707,0.09365007938783505,0.2586824201693244
P1 vs P2,-0.1364622779828218,0.0020541568778487587,-0.07528599474941304,0.08877952213279189,-0.28675996358828765,1.12060393753114e-10,-0.0028201200057098685,0.949150949519078,0.3726170550977614,0.0001293045842027969
P1 vs P3,-0.02445177805887847,0.5803167549175454,0.0594499615068536,0.1789231341127722,-0.27745404377779787,4.3028632412066967e-10,-0.059431031396931566,0.17906229155149203,0.5535343544704581,9.405565508505237e-09
P2 vs P3,0.11198368267771919,0.011394522797131918,0.12834800943621139,0.0037385319270242137,0.009289497949557576,0.8336146944860158,-0.05602380895309224,0.2052807765891998,0.2008443086549855,0.030514562511972546
